"","params","mean","lo90","hi90","ess","rhat"
"s2[6]","s2[6]",0.000811873085597148,-0.00205721518429927,0.0037569955039338,17089.2826687777,1.00063412384567
"s2[7]","s2[7]",0.000901194771114359,-0.00214264528871423,0.00397792723205263,13306.038690805,1.00058672416062
"s2[8]","s2[8]",0.000606269325469698,-0.0016930781522124,0.00307030772172926,15620.4291318319,1.00056953203607
"s2[9]","s2[9]",-0.000114630778733112,-0.00272061057091805,0.00242337865380658,12027.258812983,1.00029638891291
"s2[10]","s2[10]",0.000474880759802693,-0.0013914645524852,0.00244989135433926,15217.9660216343,1.00087732356556
"s2[11]","s2[11]",0.000447170096235286,-0.00174030883516615,0.002803197608487,15158.0474815798,1.00011702714394
"s2[12]","s2[12]",0.00120842411060182,-0.00027437529410615,0.00262762299326135,11407.4462296235,1.00169005753468
"s2[13]","s2[13]",0.000419560246205722,-0.00260404222612358,0.0035058628445396,16690.3029869687,1.00050052147143
"s2[14]","s2[14]",0.00227719156979511,0.000129541788799277,0.00428705215583402,7797.9687056548,1.00284273846033
"s2[15]","s2[15]",0.000907158738363935,-0.00121150592550589,0.00319295046129711,15320.8514969196,1.00113556223842
"s2[16]","s2[16]",0.00189977656593484,-0.000281155502432519,0.0039733140962794,9326.11903362187,1.0011154240485
"s2[17]","s2[17]",0.000739200222680151,-0.0010157684896599,0.00261191777047408,14931.4382812302,1.00075355439289
"s2[18]","s2[18]",0.000236431448948317,-0.00255544010486987,0.00309826725301923,17600.9456142408,1.00029105800435
"s2[19]","s2[19]",0.000789002086392092,-0.00084356489165372,0.00246371653451729,12998.2981884396,1.0004875120724
"s2[20]","s2[20]",-0.000587970011163094,-0.00392386389515788,0.00245861540008623,19054.5515972759,1.00058480762108
"s2[21]","s2[21]",-0.000944750174582975,-0.00288942847132636,0.00100665773251155,11940.8309101864,1.00068593180587
"s2[22]","s2[22]",-0.00044886547481593,-0.00196735968848524,0.00119451806426595,16632.3097901225,1.00012790673679
"s2[23]","s2[23]",-0.0005264698398717,-0.00203590056719863,0.000845381079724216,14758.2068525178,1.00061302280264
"s2[24]","s2[24]",-0.000723009168169503,-0.00235439059629436,0.000856117121926075,14778.1301086374,0.999991368177524
"s2[25]","s2[25]",-0.000635452984164912,-0.00286727873825177,0.00144664017356212,16417.9216385046,1.00000901692278
"s2[26]","s2[26]",0.000756839642947742,-0.000542940222939317,0.00210049993314946,12178.5915197833,1.00089018017708
"s2[27]","s2[27]",-0.000216126706211617,-0.0025691066171903,0.00190530244062768,19190.8375074525,1.00054526091005
"s2[28]","s2[28]",-0.000858337173779707,-0.00366602258569365,0.0019214416919997,17265.5948820553,1.00091398545603
"s2[29]","s2[29]",-0.000886461995093824,-0.00429069721542013,0.00262808835063689,16371.4867434465,1.00027453204072
"s2[30]","s2[30]",-0.000428750218402521,-0.00187762100172263,0.00092131792014964,14555.7653690839,0.999947400695401
"s2[31]","s2[31]",0.000434443107100304,-0.000970152610869074,0.00196555050824709,16092.4474203481,1.0005442447813
"s2[32]","s2[32]",0.000153215301746415,-0.00177454369375269,0.0021308073369627,19308.5666560794,1.00024848746379
"s2[33]","s2[33]",-0.000774143866357416,-0.00297663530914608,0.00140954071792473,16230.7987621736,1.00071582549533
"s2[34]","s2[34]",-0.00115191151506815,-0.00342727462064621,0.00104842992779934,13317.1572598184,1.00122492833748
"s2[35]","s2[35]",-0.00050067339269379,-0.00319564694528438,0.00211128035770408,18852.1688818981,1.00028857343088
"s2[36]","s2[36]",-0.000140678520770639,-0.00110847459508476,0.000917544117000536,14534.3943793962,1.00031474796015
"s2[37]","s2[37]",-0.000709630906059704,-0.00221253314751265,0.000776741394205211,13827.952317998,1.0001149792899
"s2[38]","s2[38]",0.000253040245821626,-0.00123464596883616,0.00170505824401173,19456.4554475838,1.00074878043547
"s2[39]","s2[39]",-0.000646643520908161,-0.00210585037503438,0.000792948536415244,14722.0654618139,1.001029260488
"s2[40]","s2[40]",-0.000645535416631687,-0.00299197337877262,0.00146378564730526,15933.3141450844,1.00103377353761
"s2[41]","s2[41]",-0.000107462733079981,-0.00418745302483023,0.00403077622031987,18878.4553059889,1.0004410662384
"s2[42]","s2[42]",-0.00042857079240977,-0.00208482934940865,0.00125918095648063,16181.9212599749,1.00010761644687
"s2[43]","s2[43]",-0.000317244399972641,-0.00176987981940119,0.00104815824572004,16457.0905921603,1.00006400003351
"s2[44]","s2[44]",-0.000157563700696473,-0.00151659801861409,0.00120741843629338,18424.5647753014,1.00002865477156
"s2[45]","s2[45]",-0.000410946422040565,-0.00166447109528711,0.000745737324361365,15978.454444406,1.00015573874591
"s2[46]","s2[46]",0.000286939274761646,-0.00121050828147294,0.0017986651541347,17642.3329873786,1.0010928168586
"s2[47]","s2[47]",0.0000149615930885609,-0.00276706858030779,0.00283332264145073,18262.4014534082,0.999995369074784
"s2[48]","s2[48]",-0.000027212203772373,-0.00198090614659704,0.00185722246114044,17350.5308139602,1.00105158735508
"s2[49]","s2[49]",0.000270839321906201,-0.00118772431098032,0.00181831684264205,18708.5973543579,1.00098464470553
"s2[50]","s2[50]",0.00151278692354474,0.000103015182996823,0.0029153191586538,8624.63090281743,1.00313613618281
"s2[51]","s2[51]",-0.000109078010492462,-0.00217949952085153,0.0020484624403778,19387.0376492016,1.00007134658348
"s2[52]","s2[52]",-0.00049175304420732,-0.00283112690514831,0.00179732645769805,16004.2829886105,1.00027111772392
"s2[53]","s2[53]",-0.00020710036952601,-0.00377402981234326,0.00356580307604781,17313.2405987987,0.999890287544259
"s2[54]","s2[54]",0.0000678633769174577,-0.00233151937128531,0.00244048544128141,19673.3275855221,1.00026088429009
"s2[55]","s2[55]",0.000341150426325653,-0.00228893004639136,0.00285957310352476,19721.5879483184,0.999954406284958
"s2[56]","s2[56]",-0.0000946995773670927,-0.00224816354322498,0.0021560757465585,17142.9625303453,1.00002739773267
"s2[57]","s2[57]",-0.000562194626355113,-0.00352041898411892,0.00229456856246498,15573.985508228,1.00006495596733
"s2[58]","s2[58]",-0.000936264734962588,-0.00376737499542195,0.00185078154563006,13605.8044834735,1.00013013396513
"s2[59]","s2[59]",-0.00124253513933597,-0.00467759135587584,0.00206260443247274,13387.5705447564,1.00015698865544
"s2[60]","s2[60]",-0.00152244683556237,-0.00527151864438669,0.00200997243096458,12996.912887245,1.00021725667893
"s2[61]","s2[61]",-0.00139348961523428,-0.00551957362017177,0.0030613999014655,14946.197728636,1.00103011299992
"sigma1","sigma1",0.00144142617137536,0.000357245887125833,0.00251916253974711,3729.16264315288,1.0013616479621
"sigma2","sigma2",0.0023236666715463,0.000878417264594017,0.00382372553451473,5415.73801859843,1.00498279900664
